74,Movie,Wedding Cha Shinema,Saleel Kulkarni,2019,ALL,138 min,"Comedy, International",An aspiring filmmaker reluctantly takes up the assignment of filming a wedding in a small town  Once she gets there  she is drawn into the celebration  chaos and drama surrounding the family gathering 
75,Movie,We ll Take Manhattan,John McKay,2012,16+,89 min,"Drama, Romance",A look at the love affair between 1960s supermodel Jean Shrimpton and photographer David Bailey 
76,Movie,We Need to Talk About Kevin,Lynne Ramsay,2012,R,113 min,"Drama, Horror, Suspense",In this Golden Globe nominated psychological thriller  Oscar winner Tilda Swinton plays the mother  Eva  of the evil Kevin  Ezra Miller   Eva contends with her clueless husband  John C  Reilly  and her son s malevolent ways  as the narrative builds to a chilling and unforgettable climax 
77,Movie,Watermelon Man,Melvin Van Peebles,1970,R,100 min,Comedy,When racist white insurance agent Jeff Gerber wakes up one morning to discover that his skin has turned black  he experiences bigotry first hand as his family  neighbors  and employers react to his transformation  Now suffering from the effects of racial discrimination  Jeff must reassess his priorities in life 
78,Movie,Waterfalls for Sleep 8 Hours,Mark Knight,2016,ALL,480 min,"Documentary, Special Interest",Featuring uninterrupted ultra dark video of nighttime waterfalls accompanied by the natural sounds recorded on location This video helps create healthy sleep habits by reducing the blue spectrum light waves known to inhibit REM sleep  By following the five stages of sleep patterns  this calming video will help you relax into a deep sleep  Filmed on location in the Blue Ridge Mountains
79,Movie,WATER  short ,Mark Knight,2017,ALL,4 min,Documentary,This International Award Winning short film features some of the planet s most spectacular glaciers  waterfalls  beaches and waterways  Destinations include  Iceland  Iguazu Falls  Atchafalaya Basin Louisiana  Lake Tahoe California  Black Canyon of the Gunnison Colorado  and Punta Cana  Dominican Republic  Screened at over 87 Film Festivals Worldwide  Music score Peter Simmer Wieland Reisssmann 
80,Movie,Wash Your Hands   More Classic Kids Songs   KiiYii,Moonbug Entertainment,2020,ALL,30 min,Kids,A new collection of colorful and wonderfully engaging nursery rhymes and children s songs that will thrill your child while educating them in their numbers  ABCs and general learning  From the creators of LittleBabyBum  KiiYii allows the child s imagination to go further 
82,Movie,War Comes to America,Frank Capra,1945,NR,65 min,"Documentary, Special Interest",Part VII of the  Why We Fight  series of wartime documentaries  This entry attempts to describe the factors leading up to America s entry into the Second World War 
83,Movie,War  Telugu ,Siddharth Anand,2019,13+,152 min,"Action, Drama, Suspense",An elite shadow unit of RAW led by agent Kabir  Hrithik Roshan  focusses on maximum risk missions  Khalid  Tiger Shroff   a soldier with a murky past  struggles to get into Kabir s team and finally manages to convince him of his dedication   loyalty  Now  when Kabir mysteriously goes rogue  Khalid is assigned the task of hunting down his mentor  Can he track him  A deadly war begins 
84,Movie,War  Tamil ,Siddharth Anand,2019,13+,152 min,"Action, Drama, Suspense",An elite shadow unit of RAW led by agent Kabir  Hrithik Roshan  focusses on maximum risk missions  Khalid  Tiger Shroff   a soldier with a murky past  struggles to get into Kabir s team and finally manages to convince him of his dedication   loyalty  Now  when Kabir mysteriously goes rogue  Khalid is assigned the task of hunting down his mentor  Can he track him  A deadly war begins 
85,Movie,Walter Williams  Suffer No Fools,Tony Machi,2014,13+,55 min,Special Interest,On the major social and political issues of our time  economist  author  and columnist Walter Williams is one of America s most provocative thinkers  The story of Walter Williams  life unfolds through exclusive  on location interviews with Williams and many others  referencing the turbulent  discriminatory events of the 1960s that so influenced his thinking and his life 
86,Movie,Wallaby Jim of the Islands,Charles Lamont,1937,13+,68 min,"Action, Suspense",Wallaby Jim  Houston  and his tough crew of fisherman are always on the lookout for new pearl beds in the South Pacific  due to an excessive gambling debt incurred by their pearl broker  Norman  They finally discover the  mother lode  of pearls  and realize there are enough pearls to pay off the debt and set them up for life  However  trouble brews on the horizon when Wallaby s chief competitor  Adolf Richter  and his vicious indentured crew try to violently take over the operation and get the pearls for themselves  Fights  action  excitement  romance  and 4 songs sung by former cowboy crooner Houston make this an entertaining adventure film 
87,Movie,Wall Street Cowboy,Joseph Kane,1939,18+,57 min,Western,Roy Rogers travels back east with his old friend Gabby  Hayes  and Chuckawalla  Hatton  to try to raise funds to help pay off his mortgage  Unknown to Roy  his ranch is filled with a rich mineral deposit called Molybdenum  which has many profitable uses  A criminal Wall Street stock cartel knows of the deposit  and tries every swindle they can to obtain the property by foreclosure  including blocking any attempts Roy makes to acquire a loan  As a last resort  Roy turns to a former enemy named Hammond  Watkin  for help  Roy sings several songs in this film 
88,Movie,Walkaway Joe,Tom Wright,2020,16+,89 min,"Action, Drama",In the tradition of American classics  WALKAWAYJOE is the story of an unlikely friendship between a young boy searching for his father  and a wandering loner hiding from his past  In each other they experience the power of a second chance  and a shot at redemption 
89,Movie,Waiting on Mary,Corey Horton,2016,18+,77 min,"Comedy, Drama",An actor in denial of his recent divorce retreats into the persona of a colonial scout and explores his new futuristic landscape 
90,Movie,Waiting for You,Charles Garrad,2018,13+,92 min,"Drama, Romance, Suspense",Paul  Morgan  investigates his late father s increasingly disturbing past and becomes suspicious of the mysterious  melancholic  and possibly dangerous Madeleine  Ardant  
91,Movie,Waiting for Lightning,Jacob Rosenberg,2012,PG-13,96 min,"Documentary, Sports",This is the inspirational story of Danny Way  a young boy from a broken home whose passion for skateboarding would one day bring him fame and a lifetime of accomplishments  A visionary skateboarder whose love of big air in half pipes and on gigantic ramps have garnered him fame and fans around the world  Way decides to attempt the impossible  jump China s Great Wall on a skateboard 
92,Movie,Waiting for Anya,Ben Cookson,2020,13+,109 min,"Action, Drama",From the author of War Horse  a shepherd boy risks everything to help smuggle Jewish children into Spain from German occupied France 
93,Movie,Wait For Your Laugh,Jason Wise,2018,13+,85 min,"Arts, Entertainment, and Culture, Documentary",Rose Marie  the untold story of fame  love  tragedy and 90 years of American entertainment through the eyes of the woman who did it all 
94,Movie,Voyage Into Space,Minoru Yamada,1970,13+,98 min,Science Fiction,A little Japanese boy  Johnny Sokko  and his giant flying robot prevent the monster Dracolon from destroying Tokyo 
95,Movie,Vows of Deception,Bill Norton,1996,PG-13,94 min,"Drama, Suspense",When a prominent lawyer is found murdered  his wife is promptly arrested and charged with the crime  She swiftly accuses her stepson  with whom she claims to be having an affair  This sheds enough reasonable doubt to get her case dismissed on grounds of a mistrial  but three years later  prosecutors arrest and charge her again  Will she be so lucky on her second go 
96,Movie,Volcano  Fire on the Mountain,Graeme Campbell,1997,16+,88 min,"Action, Science Fiction, Suspense",A USGS scientist attempts to convince his boss and the residents of Angel Falls  California that a nearby volcano is about to erupt 
